2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-HEALTHCARE-21-Apr-2026.csv (4.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-HEALTHCARE-22-Apr-2026.csv (4.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-HEALTHCARE-23-Apr-2026.csv (4.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-HEALTHCARE-24-Apr-2026.csv (4.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-HEALTHCARE-27-Apr-2026.csv (4.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-HEALTHCARE-28-Apr-2026.csv (4.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-HEALTHCARE-29-Apr-2026.csv (4.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MW-NIFTY-MIDSMALL-IT-&-TELECOM-21-Apr-2026.csv (3.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
