2026-05-05 22:46:52 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:52 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:52 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:52 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:52 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:52 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:52 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:52 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:52 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:52 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:52 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:52 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:53 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:53 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:53 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:53 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:53 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:53 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:53 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:53 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:53 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:53 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:53 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:53 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:53 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:53 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:53 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:53 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:53 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:53 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:53 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:53 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:53 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:53 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:53 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:53 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:53 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:53 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:53 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:54 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:54 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:54 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:54 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
2026-05-05 22:46:54 | WARNING  | pipeline.writers | Append failed (table indices_data has no column named symbol), trying upsert mode
2026-05-05 22:46:54 | INFO     | pipeline.writers | Upsert wrote 0 rows to indices_data
2026-05-05 22:46:54 | INFO     | pipeline.writers | SQLiteWriter → indices_data: 250 rows
